seq	len
SN:GCA_900109185.1	151
SN:GCA_000194195.1	424
SN:GCA_000194195.2	154
SN:GCA_003241315.1	2040
SN:GCA_000168795.1	2310
SN:GCA_002872475.1	898
SN:GCA_003650305.1	1881
SN:GCA_001856825.1	2001
SN:GCA_005046855.1	922
SN:GCA_000143005.1	922
SN:GCA_002861445.1	2139
SN:GCA_002861445.2	2316
SN:GCA_000262065.1	154
SN:GCA_003059385.1	2322
SN:GCA_002253825.1	1950
SN:GCA_005782295.1	922
SN:GCA_001870205.1	1947
SN:GCA_000236965.1	2088
SN:GCA_000263355.1	2421
SN:GCA_900058945.1	151
SN:GCA_003797145.1	2004
SN:GCA_000164095.1	1947
SN:GCA_900517705.1	922
SN:GCA_003241095.1	1665
SN:GCA_000083565.1	154
SN:GCA_000217935.1	2421
SN:GCA_001853485.1	1941
SN:GCA_001853485.2	1914
SN:GCA_000307915.1	1938
SN:GCA_003856555.1	1911
SN:GCA_900129505.1	430
SN:GCA_900129505.2	2442
SN:GCA_900520345.1	922
SN:GCA_000009825.1	1926
SN:GCA_003671815.1	154
SN:GCA_002891885.1	922
SN:GCA_006376295.1	1947
SN:GCA_003386155.1	1911
SN:GCA_004921445.1	2418
SN:GCA_000010105.1	154
SN:GCA_000330885.1	2064
SN:GCA_000330885.2	154
SN:GCA_003236305.1	2058
SN:GCA_003236305.2	1986
SN:GCA_000307345.1	1956
SN:GCA_000307345.2	1845
SN:GCA_000979575.1	154
SN:GCA_000284035.1	2058
SN:GCA_000010425.1	2109
SN:GCA_000010425.2	2325
SN:GCA_000154545.1	1914
SN:GCA_000154545.2	1923
SN:GCA_000328745.1	3231
SN:GCA_000328745.2	1917
SN:GCA_000297655.1	1908
SN:GCA_000147075.1	154
SN:GCA_000253155.1	1947
SN:GCA_000164675.1	1950
SN:GCA_000325705.1	1905
SN:GCA_000325705.2	1959
SN:GCA_900103545.1	1959
SN:GCA_900103545.2	1881
SN:GCA_900635625.1	1149
SN:GCA_900635625.2	931
SN:GCA_900100965.1	931
SN:GCA_002135315.1	151
SN:GCA_000179495.1	1917
SN:GCA_000158115.1	922
SN:GCA_005238715.1	1950
SN:GCA_005238715.2	1029
SN:GCA_002172835.1	2449
SN:GCA_900215655.1	2355
SN:GCA_004019565.1	154
SN:GCA_000284355.1	2322
SN:GCA_003688405.1	1941
SN:GCA_900113115.1	910
SN:GCA_900115155.1	154
SN:GCA_900115155.2	2088
SN:GCA_000013585.1	922
SN:GCA_000226755.1	919
SN:GCA_001971725.1	1938
SN:GCA_000331515.1	919
SN:GCA_003725895.1	922
SN:GCA_900517805.1	922
SN:GCA_003550235.1	720
SN:GCA_003550235.2	2121
SN:GCA_003550235.3	2058
SN:GCA_003550235.4	684
SN:GCA_002894025.1	151
SN:GCA_900504355.1	922
SN:GCA_001839505.1	1947
SN:GCA_003570715.1	154
SN:GCA_000325725.1	154
SN:GCA_000156015.1	1917
SN:GCA_003576285.1	151
SN:GCA_900113455.1	154
SN:GCA_003462725.1	1917
SN:GCA_003462725.2	1920
SN:GCA_001953935.1	151
SN:GCA_001953935.2	1947
SN:GCA_000332055.1	1935
SN:GCA_003387225.1	907
SN:GCA_002726915.1	1863
SN:GCA_002726915.2	2574
SN:GCA_000018125.1	1953
SN:GCA_000023925.1	2106
SN:GCA_000023925.2	445
SN:GCA_002866245.1	151
SN:GCA_000024345.1	2037
SN:GCA_000024345.2	2085
SN:GCA_000024345.3	1014
SN:GCA_002288845.1	922
SN:GCA_000210735.1	151
SN:GCA_000210735.2	1992
SN:GCA_000016205.1	910
SN:GCA_000018225.1	2424
SN:GCA_000153725.1	154
SN:GCA_900096995.1	151
SN:GCA_001899075.1	907
SN:GCA_000154425.1	1920
SN:GCA_000154425.2	1902
SN:GCA_900493905.1	922
SN:GCA_002559145.1	1926
SN:GCA_000090965.1	2394
SN:GCA_000190735.1	1959
SN:GCA_900512005.1	922
SN:GCA_001771625.1	1956
SN:GCA_004793105.1	922
SN:GCA_900109475.1	1938
SN:GCA_000253295.1	910
SN:GCA_002246015.1	1938
SN:GCA_000152425.1	922
SN:GCA_000014185.1	154
SN:GCA_004121195.1	922
SN:GCA_000178435.1	2025
SN:GCA_002162925.1	2436
SN:GCA_003569905.1	151
SN:GCA_003418895.1	922
SN:GCA_000017725.1	2310
SN:GCA_005383905.1	922
SN:GCA_000148665.1	2322
SN:GCA_004216895.1	1941
SN:GCA_002162765.1	1950
SN:GCA_002162765.2	1866
SN:GCA_000161375.1	1929
SN:GCA_000318135.1	2109
SN:GCA_002691145.1	2436
SN:GCA_000185905.1	154
SN:GCA_003525945.1	151
SN:GCA_000181635.1	1929
SN:GCA_000209915.1	2061
SN:GCA_000209915.2	2004
SN:GCA_000214395.1	928
SN:GCA_002884895.1	1908
SN:GCA_001907235.1	2019
SN:GCA_001907235.2	2259
SN:GCA_003385555.1	424
SN:GCA_003385555.2	154
SN:GCA_900660635.1	1953
SN:GCA_001865855.1	2052
SN:GCA_000217835.1	1926
SN:GCA_004115745.1	1947
SN:GCA_900106075.1	1938
SN:GCA_000331535.1	1956
SN:GCA_000331535.2	1926
SN:GCA_001810475.1	1908
SN:GCA_003469265.1	1986
SN:GCA_003469265.2	2076
SN:GCA_000328685.1	154
SN:GCA_000327485.1	154
SN:GCA_000008765.1	1914
SN:GCA_003997075.1	154
SN:GCA_000328285.1	154
SN:GCA_000331165.1	1920
SN:GCA_000331165.2	2028
SN:GCA_900683625.1	1884
SN:GCA_900683625.2	1935
SN:GCA_900683625.3	615
SN:GCA_003584105.1	1941
SN:GCA_003584105.2	1860
SN:GCA_900104765.1	1941
SN:GCA_002959855.1	1902
SN:GCA_002836245.1	922
SN:GCA_004921435.1	2418
SN:GCA_002256785.1	898
SN:GCA_003598705.1	1932
SN:GCA_002683025.1	154
SN:GCA_003078595.1	922
SN:GCA_003452425.1	1998
SN:GCA_003452425.2	1836
SN:GCA_003990915.1	1956
SN:GCA_003990915.2	1890
SN:GCA_002115785.1	154
SN:GCA_002115785.2	436
SN:GCA_003352295.1	1920
SN:GCA_003338615.1	154
SN:GCA_003338615.2	1923
SN:GCA_006225955.1	889
SN:GCA_004284735.1	154
SN:GCA_004284735.2	2058
SN:GCA_005861605.1	1935
SN:GCA_004011075.1	2205
SN:GCA_004011075.2	2076
SN:GCA_900513745.1	922
SN:GCA_004832655.1	922
SN:GCA_900505665.1	922
SN:GCA_003050045.1	922
SN:GCA_002259525.1	2430
SN:GCA_003201875.1	418
SN:GCA_003201875.2	151
SN:GCA_900112085.1	1920
SN:GCA_900112085.2	160
SN:GCA_004006815.1	154
SN:GCA_002140635.1	1950
SN:GCA_004798475.1	922
SN:GCA_900501665.1	922
SN:GCA_900163565.1	2028
SN:GCA_900163565.2	2076
SN:GCA_001886185.1	1950
SN:GCA_900094705.1	1983
SN:GCA_900094705.2	1911
SN:GCA_900094705.3	1047
SN:GCA_001954425.1	154
SN:GCA_900506085.1	922
SN:GCA_001874065.1	154
SN:GCA_004116585.1	2316
SN:GCA_003515685.1	1968
SN:GCA_004348445.1	154
SN:GCA_002017945.1	151
SN:GCA_002017945.2	927
SN:GCA_002017945.3	435
SN:GCA_002722875.1	1923
SN:GCA_002210285.1	1851
SN:GCA_002210285.2	1941
SN:GCA_005045025.1	922
SN:GCA_002849795.1	1986
SN:GCA_002849795.2	1974
SN:GCA_900167925.1	1935
SN:GCA_900167925.2	151
SN:GCA_003284725.1	154
SN:GCA_003284725.2	445
SN:GCA_900112765.1	1974
SN:GCA_002733505.1	2454
SN:GCA_004006055.1	919
SN:GCA_004125815.1	151
SN:GCA_900100745.1	154
SN:GCA_002073975.1	154
SN:GCA_004125755.1	1947
SN:GCA_005671045.1	922
SN:GCA_900516245.1	922
SN:GCA_002727065.1	2046
SN:GCA_002727065.2	154
SN:GCA_003173695.1	1965
SN:GCA_003812745.1	922
SN:GCA_003470305.1	735
SN:GCA_003470305.2	1905
SN:GCA_900092005.1	2073
SN:GCA_900092005.2	1173
SN:GCA_900092005.3	2127
SN:GCA_005519915.1	922
SN:GCA_900003725.1	922
SN:GCA_900133245.1	2127
SN:GCA_900133245.2	2028
SN:GCA_003481335.1	1899
SN:GCA_003481335.2	1923
SN:GCA_005039285.1	922
SN:GCA_004122355.1	922
SN:GCA_005819085.1	151
SN:GCA_002165895.1	832
SN:GCA_003205245.1	154
SN:GCA_003475305.1	1845
SN:GCA_003475305.2	1956
SN:GCA_900097105.1	1851
SN:GCA_900097105.2	2559
SN:GCA_004831845.1	922
SN:GCA_003446835.1	421
SN:GCA_003446835.2	960
SN:GCA_003014695.1	1956
SN:GCA_003014695.2	1872
SN:GCA_003731605.1	922
SN:GCA_001984575.1	2118
SN:GCA_001984575.2	2058
SN:GCA_002104765.1	2034
SN:GCA_003538415.1	2001
SN:GCA_004135055.1	1995
SN:GCA_004135055.2	2079
SN:GCA_002906135.1	154
SN:GCA_002802945.1	2148
SN:GCA_002802945.2	2112
SN:GCA_900113055.1	2130
SN:GCA_900113055.2	2046
SN:GCA_900176395.1	154
SN:GCA_900176395.2	2001
SN:GCA_901337305.1	151
SN:GCA_001854225.1	2082
SN:GCA_001854225.2	1938
SN:GCA_900112345.1	2151
SN:GCA_900112345.2	2124
SN:GCA_004348315.1	2016
SN:GCA_004348315.2	2058
SN:GCA_004348315.3	2118
SN:GCA_004803495.1	919
SN:GCA_002572305.1	1929
SN:GCA_003938795.1	154
SN:GCA_001995695.1	922
SN:GCA_003527725.1	154
SN:GCA_900637985.1	2103
SN:GCA_900637985.2	2025
SN:GCA_004195945.1	2106
SN:GCA_004195945.2	2124
SN:GCA_005889955.1	922
SN:GCA_900094795.1	922
SN:GCA_005819445.1	151
SN:GCA_004087915.1	154
SN:GCA_004014435.1	2322
SN:GCA_900218035.1	1929
SN:GCA_003507675.1	151
SN:GCA_900481795.1	154
SN:GCA_002588265.1	922
SN:GCA_900505505.1	922
SN:GCA_002555165.1	1929
SN:GCA_003452935.1	2643
SN:GCA_002256185.1	154
SN:GCA_004020105.1	2472
SN:GCA_003258945.1	2448
SN:GCA_003963535.1	2085
SN:GCA_003963535.2	1167
SN:GCA_003963535.3	2124
SN:GCA_003528255.1	154
SN:GCA_002728195.1	1947
SN:GCA_002761535.1	154
SN:GCA_003402285.1	154
SN:GCA_900566075.1	2028
SN:GCA_005144475.1	154
SN:GCA_005144475.2	424
SN:GCA_003701975.1	922
SN:GCA_003473825.1	1926
SN:GCA_001753675.1	2451
SN:GCA_004053845.1	154
SN:GCA_004793095.1	922
SN:GCA_002797515.1	151
SN:GCA_005887005.1	154
SN:GCA_004299205.1	1938
SN:GCA_001812975.1	2037
SN:GCA_001812975.2	2103
SN:GCA_900502895.1	922
SN:GCA_003851625.1	2124
SN:GCA_003851625.2	2085
SN:GCA_004832685.1	922
SN:GCA_002158195.1	1929
SN:GCA_003052165.1	2160
SN:GCA_005235535.1	1947
SN:GCA_900111165.1	892
SN:GCA_900070325.1	1932
SN:GCA_900070325.2	1908
SN:GCA_900116905.1	2109
SN:GCA_900116905.2	2244
SN:GCA_002276695.1	2103
SN:GCA_002276695.2	2031
SN:GCA_900684045.1	1902
SN:GCA_005043825.1	922
SN:GCA_004331545.1	922
SN:GCA_000979935.1	154
SN:GCA_002096915.1	1947
SN:GCA_004019925.1	154
SN:GCA_005819005.1	151
SN:GCA_002937455.1	2010
SN:GCA_002937455.2	154
SN:GCA_900103425.1	154
SN:GCA_001808185.1	892
SN:GCA_002276415.1	154
SN:GCA_005280915.1	922
SN:GCA_002844335.1	154
SN:GCA_900011755.1	421
SN:GCA_900011755.2	154
SN:GCA_004195765.1	2124
SN:GCA_004195765.2	2106
SN:GCA_004342225.1	907
SN:GCA_004342225.2	424
SN:GCA_003059285.1	2322
SN:GCA_900109785.1	2436
SN:GCA_002705125.1	1866
SN:GCA_002736735.1	154
SN:GCA_900515015.1	922
SN:GCA_002245055.1	922
SN:GCA_005518465.1	922
SN:GCA_003579925.1	2001
SN:GCA_003579925.2	2100
SN:GCA_004145305.1	1503
SN:GCA_004145305.2	135
SN:GCA_005238515.1	1947
SN:GCA_003438025.1	1962
SN:GCA_003438025.2	1905
SN:GCA_005472665.1	1953
SN:GCA_004922425.1	2418
SN:GCA_005887095.1	154
SN:GCA_003468725.1	1926
SN:GCA_003468725.2	1926
SN:GCA_005048345.1	160
SN:GCA_005048345.2	1917
SN:GCA_005048345.3	357
SN:GCA_005048345.4	1920
SN:GCA_004803735.1	415
SN:GCA_004014495.1	2322
SN:GCA_005045145.1	922
SN:GCA_003688715.1	154
SN:GCA_006375615.1	1947
SN:GCA_003504715.1	154
SN:GCA_002733865.1	154
SN:GCA_003094915.1	2340
SN:GCA_003094915.2	2118
SN:GCA_003202105.1	154
SN:GCA_005043345.1	922
SN:GCA_003952685.1	154
SN:GCA_002237555.1	901
SN:GCA_002221565.1	2340
SN:GCA_002221565.2	2118
SN:GCA_003534755.1	154
SN:GCA_005043265.1	922
SN:GCA_003481595.1	1926
SN:GCA_003481595.2	1926
SN:GCA_002731775.1	2430
SN:GCA_003248455.1	151
SN:GCA_003248455.2	421
SN:GCA_900501565.1	922
SN:GCA_003224295.1	2016
SN:GCA_003224295.2	2250
SN:GCA_002159755.1	151
SN:GCA_002159755.2	1929
SN:GCA_002910775.1	2127
SN:GCA_002910775.2	2070
SN:GCA_006339625.1	1941
SN:GCA_000979845.1	154
SN:GCA_005785305.1	151
SN:GCA_900104025.1	2046
SN:GCA_900215595.1	2124
SN:GCA_900215595.2	2070
SN:GCA_005038675.1	922
SN:GCA_006364675.1	1935
SN:GCA_005238255.1	1029
SN:GCA_005238255.2	1950
SN:GCA_003751635.1	916
SN:GCA_900167915.1	1983
SN:GCA_900167915.2	154
SN:GCA_900083635.1	922
SN:GCA_002731335.1	922
SN:GCA_005044995.1	922
SN:GCA_003639335.1	2322
SN:GCA_900461105.1	1908
SN:GCA_900111595.1	1929
SN:GCA_003367535.1	154
SN:GCA_003367535.2	1941
SN:GCA_002108455.1	151
SN:GCA_003030465.1	154
SN:GCA_900507415.1	922
SN:GCA_005886255.1	922
SN:GCA_005785815.1	151
SN:GCA_004023235.1	2472
SN:GCA_004921225.1	2418
SN:GCA_003949535.1	2121
SN:GCA_003949535.2	1146
SN:GCA_003949535.3	2001
SN:GCA_001983215.1	2079
SN:GCA_900302705.1	2409
SN:GCA_003999155.1	154
SN:GCA_900142535.1	1845
SN:GCA_900142535.2	1950
SN:GCA_002147395.1	1929
SN:GCA_003601985.1	2472
SN:GCA_001952815.1	1854
SN:GCA_001952815.2	421
SN:GCA_900503035.1	922
SN:GCA_003221615.1	2205
SN:GCA_003634665.1	2433
SN:GCA_002782825.1	154
SN:GCA_900090135.1	2073
SN:GCA_900090135.2	2127
SN:GCA_005519215.1	922
SN:GCA_900163875.1	154
SN:GCA_004346165.1	1938
SN:GCA_002794335.1	1947
SN:GCA_002794335.2	151
SN:GCA_900119345.1	1923
SN:GCA_002783435.1	922
SN:GCA_006227275.1	922
SN:GCA_001803315.1	1815
SN:GCA_001803315.2	937
SN:GCA_003429605.1	922
SN:GCA_900185035.1	2418
SN:GCA_900185035.2	424
SN:GCA_900637065.1	2040
SN:GCA_001661675.1	2607
SN:GCA_001661675.2	433
SN:GCA_003025625.1	2421
SN:GCA_003850885.1	955
SN:GCA_003850885.2	154
SN:GCA_900517435.1	922
SN:GCA_003702125.1	928
SN:GCA_002084585.1	2436
SN:GCA_900510575.1	922
SN:GCA_004217495.1	1980
SN:GCA_004217495.2	2085
SN:GCA_004020035.1	2472
SN:GCA_005601135.1	1956
SN:GCA_005601135.2	1986
SN:GCA_002096615.1	1947
SN:GCA_003075455.1	2109
SN:GCA_003075455.2	2070
SN:GCA_004804105.1	922
SN:GCA_001286785.1	1929
SN:GCA_900459425.1	1947
SN:GCA_004348355.1	1947
SN:GCA_004348355.2	2058
SN:GCA_003860025.1	1959
SN:GCA_003860025.2	1866
SN:GCA_004922035.1	2418
SN:GCA_005238065.1	1029
SN:GCA_005238065.2	1950
SN:GCA_002555725.1	1929
SN:GCA_005773965.1	2073
SN:GCA_005773965.2	2097
SN:GCA_900102235.1	1935
SN:GCA_900102235.2	1938
SN:GCA_900103125.1	1959
SN:GCA_900103125.2	1896
SN:GCA_002022505.1	2079
SN:GCA_002022505.2	2430
SN:GCA_004912275.1	1959
SN:GCA_003220315.1	154
SN:GCA_901289325.1	151
SN:GCA_001808105.1	1935
SN:GCA_004920255.1	1935
SN:GCA_003175155.1	1929
SN:GCA_003175155.2	1950
SN:GCA_002310835.1	922
SN:GCA_900511175.1	922
SN:GCA_003669035.1	1935
SN:GCA_003669035.2	1881
SN:GCA_003545115.1	2523
SN:GCA_003545115.2	1824
SN:GCA_003859915.1	1908
SN:GCA_003481395.1	151
SN:GCA_003481395.2	1923
SN:GCA_002307375.1	910
SN:GCA_004117015.1	2106
SN:GCA_004117015.2	2151
SN:GCA_004831735.1	922
SN:GCA_900456965.1	154
SN:GCA_002276165.1	1938
SN:GCA_002694985.1	154
SN:GCA_002705995.1	1965
SN:GCA_002705995.2	1854
SN:GCA_002265875.1	1926
SN:GCA_003634315.1	154
SN:GCA_005145655.1	2313
SN:GCA_003634045.1	2019
SN:GCA_003634045.2	151
SN:GCA_003002895.1	448
SN:GCA_003002895.2	2148
SN:GCA_900119575.1	154
SN:GCA_004329985.1	424
SN:GCA_004329985.2	154
SN:GCA_002696485.1	1941
SN:GCA_006088855.1	1929
SN:GCA_004213475.1	922
SN:GCA_005886125.1	154
SN:GCA_004118935.1	1995
SN:GCA_004118935.2	2079
SN:GCA_003202715.1	2130
SN:GCA_003202715.2	2412
SN:GCA_003481145.1	1968
SN:GCA_003481145.2	2004
SN:GCA_002096675.1	1947
SN:GCA_003635245.1	2253
SN:GCA_003635245.2	267
SN:GCA_003635245.3	1482
SN:GCA_900163695.1	2070
SN:GCA_900163695.2	160
SN:GCA_003208485.1	928
SN:GCA_003944755.1	901
SN:GCA_001921205.1	1968
SN:GCA_001921205.2	2052
SN:GCA_001921205.3	600
SN:GCA_004922235.1	2418
SN:GCA_900631595.1	922
SN:GCA_005039015.1	922
SN:GCA_900115505.1	2031
SN:GCA_001921745.1	154
SN:GCA_004119015.1	922
SN:GCA_002742515.1	922
SN:GCA_001805575.1	1143
SN:GCA_003434055.1	1914
SN:GCA_003434055.2	184
SN:GCA_003434055.3	151
SN:GCA_004795215.1	2424
SN:GCA_005863535.1	151
SN:GCA_003248865.1	154
SN:GCA_003248865.2	2019
SN:GCA_003324525.1	2001
SN:GCA_003324525.2	1884
SN:GCA_002507565.1	154
SN:GCA_003046095.1	1947
SN:GCA_003478705.1	421
SN:GCA_003478705.2	1923
SN:GCA_900100705.1	1872
SN:GCA_900100705.2	1959
SN:GCA_900506745.1	922
SN:GCA_002027165.1	154
SN:GCA_003426625.1	2160
SN:GCA_003426625.2	2073
SN:GCA_006227425.1	922
SN:GCA_002533355.1	2322
SN:GCA_900513635.1	922
SN:GCA_002856265.1	922
SN:GCA_003818595.1	1929
SN:GCA_003991075.1	928
SN:GCA_900097265.1	2043
SN:GCA_900097265.2	2121
SN:GCA_900097265.3	2121
SN:GCA_900097265.4	2043
SN:GCA_002257325.1	154
SN:GCA_004833405.1	922
SN:GCA_003591035.1	910
SN:GCA_004117835.1	1917
SN:GCA_001940785.1	1923
SN:GCA_002081855.1	898
SN:GCA_003932505.1	925
SN:GCA_001837185.1	889
SN:GCA_002874055.1	922
SN:GCA_900516005.1	922
SN:GCA_900163645.1	928
SN:GCA_004342425.1	919
SN:GCA_002881845.1	154
SN:GCA_002549905.1	151
SN:GCA_002549905.2	1992
SN:GCA_004421105.1	2418
SN:GCA_005233935.1	1953
SN:GCA_003122725.1	1929
SN:GCA_005784685.1	151
SN:GCA_900454205.1	889
SN:GCA_002919905.1	151
SN:GCA_004025535.1	154
SN:GCA_002770555.1	151
SN:GCA_003236205.1	1003
SN:GCA_003236205.2	1950
SN:GCA_005234435.1	1947
SN:GCA_003010935.1	919
SN:GCA_003010935.2	424
SN:GCA_900110685.1	1926
SN:GCA_900507895.1	922
SN:GCA_002351485.1	2481
SN:GCA_002351485.2	433
SN:GCA_001969385.1	154
SN:GCA_001875725.1	2046
SN:GCA_900502335.1	922
SN:GCA_900774135.1	922
SN:GCA_003015255.1	1908
SN:GCA_004342265.1	925
SN:GCA_006240685.1	2073
SN:GCA_006240685.2	2160
SN:GCA_900511365.1	922
SN:GCA_002878485.1	154
SN:GCA_003611855.1	1920
SN:GCA_003611855.2	1914
SN:GCA_003611855.3	154
SN:GCA_900654235.1	154
SN:GCA_005860995.1	1935
SN:GCA_003426345.1	717
SN:GCA_003426345.2	1404
SN:GCA_900156425.1	1917
SN:GCA_003063545.1	919
SN:GCA_900239345.1	1869
SN:GCA_900239345.2	1938
SN:GCA_900187145.1	2016
SN:GCA_002118195.1	154
SN:GCA_003605035.1	1830
SN:GCA_003605035.2	154
SN:GCA_004116035.1	1929
SN:GCA_003259625.1	1257
SN:GCA_003259625.2	600
SN:GCA_003259625.3	2088
SN:GCA_003259625.4	2121
SN:GCA_002699445.1	1971
SN:GCA_002699445.2	2115
SN:GCA_005042555.1	922
SN:GCA_003610835.1	1929
SN:GCA_900107445.1	154
SN:GCA_005043995.1	922
SN:GCA_004363965.1	1941
SN:GCA_002931235.1	1962
SN:GCA_002931235.2	2088
SN:GCA_003576995.1	2001
SN:GCA_002067495.1	154
SN:GCA_004024005.1	919
SN:GCA_900091865.1	2127
SN:GCA_900091865.2	2070
SN:GCA_003060065.1	2322
SN:GCA_002895405.1	1971
SN:GCA_002895405.2	2064
SN:GCA_900635735.1	288
SN:GCA_900635735.2	490
SN:GCA_900635735.3	189
SN:GCA_900635735.4	591
SN:GCA_003599505.1	880
SN:GCA_002742045.1	2124
